time,Ampl
0,-1.79106
1.00E-07,-1.79106
2.00E-07,-1.79106
3.00E-07,-1.79106
4.00E-07,-1.79118
5.00E-07,-1.79143
6.00E-07,-1.79168
7.00E-07,-1.79206
8.00E-07,-1.79243
9.00E-07,-1.79281
1.00E-06,-1.79318
1.10E-06,-1.79368
1.20E-06,-1.79418
1.30E-06,-1.79456
1.40E-06,-1.79506
1.50E-06,-1.79556
1.60E-06,-1.79606
1.70E-06,-1.79656
1.80E-06,-1.79706
1.90E-06,-1.79743
2.00E-06,-1.79793
2.10E-06,-1.79831
2.20E-06,-1.79868
2.30E-06,-1.79893
2.40E-06,-1.79918
2.50E-06,-1.79943
2.60E-06,-1.79968
2.70E-06,-1.79993
2.80E-06,-1.80006
2.90E-06,-1.80018
3.00E-06,-1.80031
3.10E-06,-1.80043
3.20E-06,-1.80043
3.30E-06,-1.80043
3.40E-06,-1.80043
3.50E-06,-1.80043
3.60E-06,-1.80031
3.70E-06,-1.80018
3.80E-06,-1.80006
3.90E-06,-1.79993
4.00E-06,-1.79968
4.10E-06,-1.79943
4.20E-06,-1.79906
4.30E-06,-1.79868
4.40E-06,-1.79831
4.50E-06,-1.79781
4.60E-06,-1.79731
4.70E-06,-1.79668
4.80E-06,-1.79606
4.90E-06,-1.79543
5.00E-06,-1.79468
5.10E-06,-1.79406
5.20E-06,-1.79331
5.30E-06,-1.79256
5.40E-06,-1.79181
5.50E-06,-1.79106
5.60E-06,-1.79031
5.70E-06,-1.78956
5.80E-06,-1.78881
5.90E-06,-1.78806
6.00E-06,-1.78743
6.10E-06,-1.78681
6.20E-06,-1.78631
6.30E-06,-1.78593
6.40E-06,-1.78568
6.50E-06,-1.78556
6.60E-06,-1.78543
6.70E-06,-1.78556
6.80E-06,-1.78568
6.90E-06,-1.78593
7.00E-06,-1.78631
7.10E-06,-1.78681
7.20E-06,-1.78743
7.30E-06,-1.78806
7.40E-06,-1.78881
7.50E-06,-1.78968
7.60E-06,-1.79056
7.70E-06,-1.79156
7.80E-06,-1.79243
7.90E-06,-1.79343
8.00E-06,-1.79443
8.10E-06,-1.79531
8.20E-06,-1.79631
8.30E-06,-1.79718
8.40E-06,-1.79793
8.50E-06,-1.79868
8.60E-06,-1.79943
8.70E-06,-1.80006
8.80E-06,-1.80056
8.90E-06,-1.80093
9.00E-06,-1.80118
9.10E-06,-1.80143
9.20E-06,-1.80156
9.30E-06,-1.80156
9.40E-06,-1.80156
9.50E-06,-1.80143
9.60E-06,-1.80106
9.70E-06,-1.80068
9.80E-06,-1.80031
9.90E-06,-1.79968
1.00E-05,-1.79906
1.01E-05,-1.79831
1.02E-05,-1.79743
1.03E-05,-1.79656
1.04E-05,-1.79568
1.05E-05,-1.79468
1.06E-05,-1.79368
1.07E-05,-1.79268
1.08E-05,-1.79168
1.09E-05,-1.79068
1.10E-05,-1.78968
0.0000111,-1.78881
1.12E-05,-1.78793
1.13E-05,-1.78706
1.14E-05,-1.78631
1.15E-05,-1.78568
1.16E-05,-1.78506
1.17E-05,-1.78456
1.18E-05,-1.78431
1.19E-05,-1.78406
1.20E-05,-1.78406
1.21E-05,-1.78406
1.22E-05,-1.78418
1.23E-05,-1.78431
1.24E-05,-1.78456
1.25E-05,-1.78493
1.26E-05,-1.78531
1.27E-05,-1.78568
1.28E-05,-1.78618
1.29E-05,-1.78668
1.30E-05,-1.78731
1.31E-05,-1.78781
1.32E-05,-1.78843
1.33E-05,-1.78893
1.34E-05,-1.78943
1.35E-05,-1.78993
1.36E-05,-1.79043
1.37E-05,-1.79093
1.38E-05,-1.79131
1.39E-05,-1.79181
1.40E-05,-1.79218
1.41E-05,-1.79243
1.42E-05,-1.79281
1.43E-05,-1.79331
1.44E-05,-1.79368
1.45E-05,-1.79418
1.46E-05,-1.79468
1.47E-05,-1.79531
1.48E-05,-1.79581
1.49E-05,-1.79656
1.50E-05,-1.79718
1.51E-05,-1.79793
1.52E-05,-1.79868
1.53E-05,-1.79956
1.54E-05,-1.80043
1.55E-05,-1.80131
1.56E-05,-1.80218
1.57E-05,-1.80318
1.58E-05,-1.80406
1.59E-05,-1.80493
1.60E-05,-1.80593
1.61E-05,-1.80668
1.62E-05,-1.80743
1.63E-05,-1.80818
1.64E-05,-1.80881
1.65E-05,-1.80918
1.66E-05,-1.80956
1.67E-05,-1.80981
1.68E-05,-1.80993
1.69E-05,-1.81006
1.70E-05,-1.80993
1.71E-05,-1.80968
1.72E-05,-1.80943
1.73E-05,-1.80893
1.74E-05,-1.80843
1.75E-05,-1.80781
1.76E-05,-1.80706
1.77E-05,-1.80618
1.78E-05,-1.80531
1.79E-05,-1.80443
1.80E-05,-1.80356
1.81E-05,-1.80268
1.82E-05,-1.80181
1.83E-05,-1.80093
1.84E-05,-1.80018
1.85E-05,-1.79956
1.86E-05,-1.79893
1.87E-05,-1.79831
1.88E-05,-1.79781
1.89E-05,-1.79743
1.90E-05,-1.79706
1.91E-05,-1.79681
1.92E-05,-1.79656
1.93E-05,-1.79656
1.94E-05,-1.79656
1.95E-05,-1.79668
1.96E-05,-1.79693
1.97E-05,-1.79731
1.98E-05,-1.79768
1.99E-05,-1.79793
2.00E-05,-1.79831
2.01E-05,-1.79868
2.02E-05,-1.79906
2.03E-05,-1.79931
2.04E-05,-1.79968
2.05E-05,-1.80006
2.06E-05,-1.80031
2.07E-05,-1.80068
2.08E-05,-1.80081
2.09E-05,-1.80106
2.10E-05,-1.80106
2.11E-05,-1.80106
2.12E-05,-1.80106
2.13E-05,-1.80081
2.14E-05,-1.80056
2.15E-05,-1.80018
2.16E-05,-1.79968
2.17E-05,-1.79931
2.18E-05,-1.79881
2.19E-05,-1.79831
2.20E-05,-1.79781
2.21E-05,-1.79718
0.0000222,-1.79668
2.23E-05,-1.79606
2.24E-05,-1.79556
2.25E-05,-1.79506
2.26E-05,-1.79456
2.27E-05,-1.79406
2.28E-05,-1.79368
2.29E-05,-1.79343
2.30E-05,-1.79318
2.31E-05,-1.79306
2.32E-05,-1.79293
2.33E-05,-1.79293
2.34E-05,-1.79293
2.35E-05,-1.79293
2.36E-05,-1.79306
2.37E-05,-1.79318
2.38E-05,-1.79331
2.39E-05,-1.79343
2.40E-05,-1.79356
2.41E-05,-1.79381
2.42E-05,-1.79393
2.43E-05,-1.79406
2.44E-05,-1.79406
2.45E-05,-1.79406
2.46E-05,-1.79406
2.47E-05,-1.79406
2.48E-05,-1.79393
2.49E-05,-1.79368
2.50E-05,-1.79356
2.51E-05,-1.79331
2.52E-05,-1.79306
2.53E-05,-1.79281
2.54E-05,-1.79256
2.55E-05,-1.79231
2.56E-05,-1.79206
2.57E-05,-1.79181
2.58E-05,-1.79156
2.59E-05,-1.79131
2.60E-05,-1.79106
2.61E-05,-1.79093
2.62E-05,-1.79093
2.63E-05,-1.79093
2.64E-05,-1.79093
2.65E-05,-1.79106
2.66E-05,-1.79131
2.67E-05,-1.79143
2.68E-05,-1.79168
2.69E-05,-1.79193
2.70E-05,-1.79218
2.71E-05,-1.79243
2.72E-05,-1.79268
2.73E-05,-1.79293
2.74E-05,-1.79331
2.75E-05,-1.79368
2.76E-05,-1.79406
2.77E-05,-1.79443
2.78E-05,-1.79481
2.79E-05,-1.79506
2.80E-05,-1.79531
2.81E-05,-1.79556
2.82E-05,-1.79568
2.83E-05,-1.79581
2.84E-05,-1.79593
2.85E-05,-1.79593
2.86E-05,-1.79593
2.87E-05,-1.79593
2.88E-05,-1.79593
2.89E-05,-1.79581
2.90E-05,-1.79581
2.91E-05,-1.79568
2.92E-05,-1.79568
2.93E-05,-1.79556
2.94E-05,-1.79531
2.95E-05,-1.79518
2.96E-05,-1.79493
2.97E-05,-1.79481
2.98E-05,-1.79468
2.99E-05,-1.79456
3.00E-05,-1.79456
3.01E-05,-1.79443
3.02E-05,-1.79443
3.03E-05,-1.79456
3.04E-05,-1.79456
3.05E-05,-1.79456
3.06E-05,-1.79456
3.07E-05,-1.79456
3.08E-05,-1.79456
3.09E-05,-1.79456
3.10E-05,-1.79456
3.11E-05,-1.79456
3.12E-05,-1.79456
3.13E-05,-1.79443
3.14E-05,-1.79443
3.15E-05,-1.79431
3.16E-05,-1.79418
3.17E-05,-1.79393
3.18E-05,-1.79368
3.19E-05,-1.79331
3.20E-05,-1.79293
3.21E-05,-1.79256
3.22E-05,-1.79218
3.23E-05,-1.79181
3.24E-05,-1.79143
3.25E-05,-1.79106
3.26E-05,-1.79056
3.27E-05,-1.79018
3.28E-05,-1.78981
3.29E-05,-1.78943
3.30E-05,-1.78906
3.31E-05,-1.78868
3.32E-05,-1.78843
0.0000333,-1.78818
3.34E-05,-1.78806
3.35E-05,-1.78793
3.36E-05,-1.78781
3.37E-05,-1.78781
3.38E-05,-1.78781
3.39E-05,-1.78793
3.40E-05,-1.78793
3.41E-05,-1.78806
3.42E-05,-1.78818
3.43E-05,-1.78831
3.44E-05,-1.78843
3.45E-05,-1.78856
3.46E-05,-1.78868
3.47E-05,-1.78881
3.48E-05,-1.78893
3.49E-05,-1.78906
3.50E-05,-1.78918
3.51E-05,-1.78931
3.52E-05,-1.78931
3.53E-05,-1.78943
3.54E-05,-1.78943
3.55E-05,-1.78943
3.56E-05,-1.78956
3.57E-05,-1.78956
3.58E-05,-1.78968
3.59E-05,-1.78981
3.60E-05,-1.79006
3.61E-05,-1.79018
3.62E-05,-1.79043
3.63E-05,-1.79068
3.64E-05,-1.79106
3.65E-05,-1.79131
3.66E-05,-1.79156
3.67E-05,-1.79193
3.68E-05,-1.79243
3.69E-05,-1.79293
3.70E-05,-1.79356
3.71E-05,-1.79418
3.72E-05,-1.79481
3.73E-05,-1.79543
3.74E-05,-1.79618
3.75E-05,-1.79693
3.76E-05,-1.79756
3.77E-05,-1.79831
3.78E-05,-1.79906
3.79E-05,-1.79968
3.80E-05,-1.80031
3.81E-05,-1.80106
3.82E-05,-1.80168
3.83E-05,-1.80231
3.84E-05,-1.80281
3.85E-05,-1.80331
3.86E-05,-1.80381
3.87E-05,-1.80418
3.88E-05,-1.80431
3.89E-05,-1.80456
3.90E-05,-1.80456
3.91E-05,-1.80443
3.92E-05,-1.80431
3.93E-05,-1.80406
3.94E-05,-1.80368
3.95E-05,-1.80343
3.96E-05,-1.80293
3.97E-05,-1.80256
3.98E-05,-1.80206
3.99E-05,-1.80143
4.00E-05,-1.80093
4.01E-05,-1.80031
4.02E-05,-1.79968
4.03E-05,-1.79918
4.04E-05,-1.79856
4.05E-05,-1.79818
4.06E-05,-1.79781
4.07E-05,-1.79743
4.08E-05,-1.79718
4.09E-05,-1.79706
4.10E-05,-1.79706
4.11E-05,-1.79706
4.12E-05,-1.79706
4.13E-05,-1.79718
4.14E-05,-1.79718
4.15E-05,-1.79743
4.16E-05,-1.79756
4.17E-05,-1.79781
4.18E-05,-1.79806
4.19E-05,-1.79831
4.20E-05,-1.79856
4.21E-05,-1.79868
4.22E-05,-1.79893
4.23E-05,-1.79893
4.24E-05,-1.79893
4.25E-05,-1.79893
4.26E-05,-1.79893
4.27E-05,-1.79868
4.28E-05,-1.79856
4.29E-05,-1.79831
4.30E-05,-1.79806
4.31E-05,-1.79781
4.32E-05,-1.79743
4.33E-05,-1.79706
4.34E-05,-1.79668
4.35E-05,-1.79631
4.36E-05,-1.79593
4.37E-05,-1.79556
4.38E-05,-1.79518
4.39E-05,-1.79481
4.40E-05,-1.79443
4.41E-05,-1.79418
4.42E-05,-1.79393
4.43E-05,-1.79368
0.0000444,-1.79343
4.45E-05,-1.79331
4.46E-05,-1.79306
4.47E-05,-1.79306
4.48E-05,-1.79293
4.49E-05,-1.79293
4.50E-05,-1.79293
4.51E-05,-1.79306
4.52E-05,-1.79318
4.53E-05,-1.79343
4.54E-05,-1.79368
4.55E-05,-1.79393
4.56E-05,-1.79418
4.57E-05,-1.79456
4.58E-05,-1.79506
4.59E-05,-1.79543
4.60E-05,-1.79593
4.61E-05,-1.79656
4.62E-05,-1.79706
4.63E-05,-1.79781
4.64E-05,-1.79843
4.65E-05,-1.79906
4.66E-05,-1.79981
4.67E-05,-1.80056
4.68E-05,-1.80131
4.69E-05,-1.80193
4.70E-05,-1.80268
4.71E-05,-1.80318
4.72E-05,-1.80381
4.73E-05,-1.80443
4.74E-05,-1.80493
4.75E-05,-1.80543
4.76E-05,-1.80581
4.77E-05,-1.80618
4.78E-05,-1.80643
4.79E-05,-1.80668
4.80E-05,-1.80681
4.81E-05,-1.80681
4.82E-05,-1.80681
4.83E-05,-1.80668
4.84E-05,-1.80656
4.85E-05,-1.80631
4.86E-05,-1.80618
4.87E-05,-1.80581
4.88E-05,-1.80556
4.89E-05,-1.80518
4.90E-05,-1.80481
4.91E-05,-1.80443
4.92E-05,-1.80406
4.93E-05,-1.80368
4.94E-05,-1.80331
4.95E-05,-1.80293
4.96E-05,-1.80256
4.97E-05,-1.80206
4.98E-05,-1.80168
4.99E-05,-1.80131
5.00E-05,-1.80093
5.01E-05,-1.80056
5.02E-05,-1.80018
5.03E-05,-1.79981
5.04E-05,-1.79956
5.05E-05,-1.79918
5.06E-05,-1.79881
5.07E-05,-1.79843
5.08E-05,-1.79818
5.09E-05,-1.79781
5.10E-05,-1.79743
5.11E-05,-1.79718
5.12E-05,-1.79693
5.13E-05,-1.79681
5.14E-05,-1.79656
5.15E-05,-1.79656
5.16E-05,-1.79643
5.17E-05,-1.79631
5.18E-05,-1.79643
5.19E-05,-1.79643
5.20E-05,-1.79656
5.21E-05,-1.79668
5.22E-05,-1.79693
5.23E-05,-1.79718
5.24E-05,-1.79756
5.25E-05,-1.79793
5.26E-05,-1.79843
5.27E-05,-1.79881
5.28E-05,-1.79931
5.29E-05,-1.79981
5.30E-05,-1.80031
5.31E-05,-1.80081
5.32E-05,-1.80118
5.33E-05,-1.80168
5.34E-05,-1.80206
5.35E-05,-1.80243
5.36E-05,-1.80268
5.37E-05,-1.80293
5.38E-05,-1.80318
5.39E-05,-1.80318
5.40E-05,-1.80331
5.41E-05,-1.80318
5.42E-05,-1.80306
5.43E-05,-1.80268
5.44E-05,-1.80231
5.45E-05,-1.80193
5.46E-05,-1.80131
5.47E-05,-1.80081
5.48E-05,-1.80006
5.49E-05,-1.79943
5.50E-05,-1.79868
5.51E-05,-1.79793
5.52E-05,-1.79706
5.53E-05,-1.79631
5.54E-05,-1.79543
0.0000555,-1.79456
5.56E-05,-1.79368
5.57E-05,-1.79281
5.58E-05,-1.79193
5.59E-05,-1.79118
5.60E-05,-1.79043
5.61E-05,-1.78968
5.62E-05,-1.78906
5.63E-05,-1.78843
5.64E-05,-1.78793
5.65E-05,-1.78743
5.66E-05,-1.78706
5.67E-05,-1.78668
5.68E-05,-1.78643
5.69E-05,-1.78618
5.70E-05,-1.78606
5.71E-05,-1.78593
5.72E-05,-1.78581
5.73E-05,-1.78581
5.74E-05,-1.78593
5.75E-05,-1.78606
5.76E-05,-1.78618
5.77E-05,-1.78643
5.78E-05,-1.78668
5.79E-05,-1.78693
5.80E-05,-1.78731
5.81E-05,-1.78768
5.82E-05,-1.78806
5.83E-05,-1.78843
5.84E-05,-1.78881
5.85E-05,-1.78918
5.86E-05,-1.78956
